
META1, _d4=19_d5=16_hus=10_eus=19_n1us=16_n2us=15_r=100_epochs=20_split-100-2000-10556-, 2.3561, 0.280 ± 0.061, 0.251 ± 0.060, 0.484
META1, _d4=19_d5=16_hus=10_eus=19_n1us=16_n2us=15_r=100_epochs=250_split-100-2000-10556-, 3.8995, 0.139 ± 0.018, 0.128 ± 0.020, 5.108
META1, _d4=19_d5=16_hus=10_eus=19_n1us=16_n2us=15_r=100_epochs=20_split-20-500-1500-, 3.0269, 0.142 ± 0.027, 0.127 ± 0.029, 0.502
META1, _d4=19_d5=16_hus=10_eus=19_n1us=16_n2us=15_r=100_epochs=250_split-20-500-1500-, 4.9482, 0.093 ± 0.013, 0.087 ± 0.017, 4.801
META1, _d4=19_d5=16_hus=10_eus=19_n1us=16_n2us=15_r=100_epochs=20_split-200-3000-10556-, 2.0677, 0.342 ± 0.078, 0.312 ± 0.076, 0.562
META1, _d4=19_d5=16_hus=10_eus=19_n1us=16_n2us=15_r=100_epochs=250_split-200-3000-10556-, 3.3414, 0.219 ± 0.027, 0.208 ± 0.028, 5.430
META1, _d4=19_d5=16_hus=10_eus=19_n1us=16_n2us=15_r=100_epochs=600_split-200-3000-10556-, 3.7691, 0.142 ± 0.037, 0.124 ± 0.039, 12.673
META1, _d4=19_d5=16_hus=10_eus=19_n1us=16_n2us=15_r=100_epochs=2_split-20-500-10556-, 3.0165, 0.112 ± 0.047, 0.088 ± 0.052, 0.081
